dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
Meat,0.913333333333333,0.0163299316185545,0.916666666666667,105.799173164368,0.800381088256836,0.0004552377904669,0.0015654400387439,Ireland,leinster
MedicalImages,0.760263157894737,0.0029304022962263,0.786842105263158,77.5772560119629,0.828429460525513,0.0003378548759583,0.0011617918397498,Ireland,leinster
MelbournePedestrian,0.901423027166882,0.00394843402924,0.91246226821906,99.7899562835693,0.781569719314575,0.0004238651605794,0.0014575580219716,Ireland,leinster
MiddlePhalanxOutlineCorrect,0.806872852233677,0.0129311943108088,0.81786941580756,85.9907295227051,0.798871564865112,0.0003800066441928,0.0013067404074651,Ireland,leinster
MiddlePhalanxOutlineAgeGroup,0.507792207792208,0.025778484728934,0.519480519480519,76.6189739227295,0.709587144851685,0.0003297772806072,0.0011340151668896,Ireland,leinster
MiddlePhalanxTW,0.512987012987013,0.0159057775505401,0.519480519480519,79.0739130973816,0.611362648010254,0.0003433665941945,0.0011807451529189,Ireland,leinster
MixedShapesRegularTrain,0.976494845360825,0.0016077186548138,0.978969072164948,260.930357456207,0.911573219299317,0.0017672690795109,0.0060771619453274,Ireland,leinster
MixedShapesSmallTrain,0.939051546391753,0.0047190827219529,0.943092783505155,101.183127212524,0.748513460159302,0.0005796189315283,0.001993153252277,Ireland,leinster
MoteStrain,0.870287539936102,0.0030975590143235,0.875399361022364,121.154740715027,0.851708602905273,0.0005367573007793,0.0018457636587382,Ireland,leinster
NonInvasiveFetalECGThorax1,0.95206106870229,0.0015569525232344,0.961832061068702,629.109864711762,0.977798891067505,0.004211563522754,0.0144824316045257,Ireland,leinster
NonInvasiveFetalECGThorax2,0.954910941475827,0.0018377068789076,0.963358778625954,628.051954889298,0.718112754821777,0.0042368552868122,0.0145694031629865,Ireland,leinster
OliveOil,0.793333333333333,0.0711805216802087,0.833333333333333,75.5415376663208,0.324541521072388,0.0003430556892537,0.0011796760346411,Ireland,leinster
OSULeaf,0.956198347107438,0.0099859884079293,0.954545454545455,89.56396317482,0.837014198303223,0.0004594598306638,0.0015799584968068,Ireland,leinster
PhalangesOutlinesCorrect,0.820979020979021,0.0045796929380858,0.836829836829837,153.476532316208,0.641098833084106,0.0007205249785601,0.0024776911626697,Ireland,leinster
Phoneme,0.320042194092827,0.0068476085937204,0.342299578059072,146.067567062378,0.903470230102539,0.000924780909778,0.0031800722469631,Ireland,leinster
